customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0020,Male,0,No,No,28,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,One year,Yes,Bank transfer (automatic),61.73,1489.09,No
CUST0021,Female,0,Yes,No,62,Yes,No phone service,No,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,95.99,1706.07,No
CUST0022,Male,0,No,Yes,51,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,25.7,1683.27,No
CUST0023,Female,1,Yes,Yes,27,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),20.0,733.76,No
CUST0024,Female,1,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,58.6,2788.38,Yes
CUST0025,Female,1,Yes,No,17,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,79.06,2411.15,Yes
CUST0026,Female,0,Yes,Yes,23,Yes,No,DSL,No internet service,No,Yes,No,No,No,One year,No,Mailed check,69.57,3186.36,No
CUST0027,Female,0,Yes,Yes,1,No,No,Fiber optic,Yes,No,No,No internet service,No,Yes,Month-to-month,No,Mailed check,101.97,2895.4,Yes
CUST0028,Female,0,Yes,No,2,Yes,No phone service,DSL,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),78.12,1962.18,Yes
CUST0029,Female,0,No,Yes,53,No,No,Fiber optic,No,No,No,No internet service,No internet service,No,One year,Yes,Mailed check,48.08,2214.2,No
CUST0030,Female,1,No,No,1,Yes,Yes,DSL,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),20.0,859.31,Yes
CUST0031,Male,1,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,57.88,1264.14,Yes
CUST0032,Male,1,No,No,47,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No,Yes,One year,Yes,Credit card (automatic),95.84,1112.09,No
CUST0033,Female,1,No,Yes,1,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,53.24,1446.44,Yes
CUST0034,Female,0,Yes,Yes,9,Yes,Yes,No,Yes,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),65.85,2007.03,No
CUST0035,Female,0,Yes,No,26,Yes,No,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.64,3543.26,No
CUST0036,Male,1,Yes,No,27,Yes,No,DSL,Yes,No,No,No,No,No internet service,One year,Yes,Credit card (automatic),34.54,2277.36,No
CUST0037,Female,1,Yes,No,45,Yes,No,DSL,No,No,Yes,No,Yes,No internet service,One year,Yes,Electronic check,83.7,298.72,No
CUST0038,Male,0,No,Yes,21,Yes,No,No,No internet service,No,No internet service,No,Yes,No,One year,No,Credit card (automatic),114.11,2088.27,No
CUST0039,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.82,882.51,Yes
CUST0040,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,31.13,1141.25,Yes
CUST0041,Male,1,No,No,20,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,63.0,1985.11,No
CUST0042,Male,0,Yes,No,28,Yes,No,Fiber optic,No internet service,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,20.0,1055.23,Yes
CUST0043,Female,0,No,No,68,Yes,Yes,No,No internet service,No,No internet service,No,No,No internet service,Two year,Yes,Electronic check,75.11,1367.82,No
CUST0044,Female,0,Yes,No,15,Yes,Yes,No,Yes,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),78.57,3394.88,No
CUST0045,Female,0,No,Yes,14,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),115.27,7348.85,Yes
CUST0046,Female,0,Yes,No,1,Yes,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.18,3885.66,Yes
CUST0047,Female,0,No,Yes,28,Yes,Yes,DSL,No,No,No internet service,Yes,No internet service,No,One year,Yes,Mailed check,77.25,5336.26,No
CUST0048,Male,0,No,No,1,Yes,No,DSL,No,Yes,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,39.16,2189.18,No
CUST0049,Female,0,Yes,No,21,Yes,No,DSL,Yes,No internet service,No,No,Yes,No,One year,No,Electronic check,54.31,3547.62,No
CUST0050,Female,0,No,Yes,48,Yes,No,DSL,No,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Electronic check,20.0,353.03,No
CUST0051,Male,0,No,No,23,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,59.16,889.02,No
CUST0052,Female,1,No,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),55.84,81.56,Yes
CUST0053,Male,0,No,No,46,Yes,Yes,No,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,73.98,3786.53,No
CUST0054,Female,0,No,No,9,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),46.29,3127.5,Yes
CUST0055,Male,1,Yes,Yes,39,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,67.5,963.39,No
CUST0056,Female,0,Yes,No,28,Yes,No,No,No,No,No,No internet service,No,No,One year,Yes,Credit card (automatic),55.0,2542.2,No
CUST0057,Female,0,No,No,5,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,55.06,2972.9,No
CUST0058,Male,0,Yes,Yes,70,Yes,No,No,Yes,No,No,No,No internet service,No internet service,One year,No,Bank transfer (automatic),67.41,4507.13,No
CUST0059,Male,0,No,Yes,6,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),66.22,3107.31,No
CUST0060,Male,0,No,No,72,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Electronic check,87.84,6138.88,Yes
CUST0061,Male,0,Yes,No,1,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No,One year,Yes,Credit card (automatic),61.38,1563.48,Yes
CUST0062,Male,0,Yes,No,9,Yes,Yes,No,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,54.5,1408.64,Yes
CUST0063,Male,0,No,Yes,6,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,No internet service,One year,No,Bank transfer (automatic),59.58,2356.45,No
CUST0064,Male,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No internet service,No,Yes,No,Two year,Yes,Electronic check,43.56,1229.64,No
CUST0065,Male,0,No,No,39,Yes,Yes,No,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),54.2,59.69,No
CUST0066,Female,0,Yes,Yes,35,Yes,No phone service,DSL,No,No internet service,No,No,No,Yes,One year,Yes,Mailed check,120.0,6354.7,No
CUST0067,Female,0,No,Yes,47,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),37.62,2045.45,No
CUST0068,Male,0,Yes,Yes,8,Yes,Yes,No,No,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),56.64,3060.57,Yes
CUST0069,Female,1,No,No,17,Yes,Yes,No,No,No internet service,No,No,No internet service,Yes,One year,No,Electronic check,53.38,1360.88,No
CUST0070,Female,0,Yes,No,32,Yes,No phone service,No,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),57.58,2192.98,No
CUST0071,Female,0,No,No,17,Yes,No,No,No,No,No,No,No,Yes,Two year,Yes,Electronic check,55.06,1462.36,No
CUST0072,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,Yes,No internet service,No,Two year,Yes,Electronic check,73.38,156.92,No
CUST0073,Male,0,No,No,30,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,20.0,818.68,Yes
CUST0074,Female,0,No,No,3,No,No,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.12,940.68,Yes
CUST0075,Male,1,Yes,Yes,45,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,One year,Yes,Electronic check,83.98,561.22,No
CUST0076,Female,1,Yes,No,38,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),27.71,1514.3,No
CUST0077,Female,0,Yes,No,31,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,20.0,33.5,Yes
CUST0078,Female,1,No,No,5,Yes,Yes,No,Yes,No,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,35.69,2465.66,Yes
CUST0079,Male,0,No,No,9,Yes,No phone service,No,No,No internet service,No,Yes,Yes,No,Month-to-month,No,Electronic check,57.72,2169.3,Yes
CUST0080,Female,0,No,No,14,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,120.0,8495.3,Yes
CUST0081,Male,0,Yes,Yes,9,Yes,No phone service,DSL,No internet service,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,81.3,416.07,No
CUST0082,Female,1,Yes,No,7,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),20.0,848.61,No
CUST0083,Male,0,No,No,49,Yes,No,No,No,Yes,No internet service,Yes,No,No internet service,One year,Yes,Mailed check,44.31,1143.3,No
CUST0084,Female,0,Yes,No,30,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),63.4,3860.47,No
CUST0085,Male,0,No,No,25,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Mailed check,72.61,1934.84,No
CUST0086,Male,0,Yes,No,7,Yes,No phone service,DSL,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,25.56,498.23,Yes
CUST0087,Female,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),60.95,3771.99,No
CUST0088,Male,0,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),43.47,1199.81,No
CUST0089,Female,0,Yes,Yes,47,Yes,No,No,Yes,No,No,No,No internet service,No,Two year,Yes,Mailed check,31.89,70.0,No
CUST0090,Female,0,No,No,72,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,72.79,2089.78,No
CUST0091,Female,0,No,No,38,No,No,Fiber optic,No,Yes,No internet service,No,No,No,Two year,Yes,Credit card (automatic),88.22,4187.72,No
CUST0092,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),90.23,1719.76,No
CUST0093,Female,0,Yes,No,31,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,82.23,2604.37,No
CUST0094,Female,0,Yes,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),50.08,251.74,Yes
CUST0095,Female,1,No,Yes,6,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,86.44,3695.56,Yes
CUST0096,Female,0,No,No,11,Yes,No,Fiber optic,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.27,4062.43,No
CUST0097,Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,69.02,2094.37,Yes
CUST0098,Female,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),46.65,1438.5,Yes
CUST0099,Female,0,Yes,Yes,9,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),50.09,364.08,No
CUST0100,Male,0,No,Yes,50,Yes,Yes,No,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),67.22,1030.95,No
CUST0101,Male,0,Yes,No,13,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),120.0,1437.83,Yes
CUST0102,Female,0,Yes,Yes,19,Yes,No,Fiber optic,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),74.04,2606.1,No
CUST0103,Female,0,Yes,No,72,Yes,No phone service,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,46.66,1800.18,No
CUST0104,Female,0,Yes,No,8,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.03,2736.93,Yes
CUST0105,Female,0,Yes,Yes,38,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,50.25,311.5,No
CUST0106,Female,0,No,No,42,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,120.0,5230.88,No
CUST0107,Female,0,Yes,Yes,7,Yes,No phone service,No,Yes,Yes,No,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),53.02,2035.07,Yes
CUST0108,Female,0,No,Yes,20,Yes,Yes,No,No,No,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),92.21,3471.8,No
CUST0109,Female,0,Yes,No,12,No,No phone service,Fiber optic,No internet service,No,No,Yes,No,Yes,Two year,Yes,Mailed check,53.72,3384.19,No
CUST0110,Male,0,No,Yes,44,No,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,72.84,1135.74,No
CUST0111,Female,0,No,No,29,Yes,Yes,DSL,No internet service,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,88.75,345.68,No
CUST0112,Male,0,No,Yes,19,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),47.84,2331.45,No
CUST0113,Female,0,No,Yes,45,Yes,No,No,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,45.77,1167.33,No
CUST0114,Female,0,Yes,No,8,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,114.77,258.1,No
CUST0115,Male,1,Yes,No,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),94.54,1781.81,No
CUST0116,Female,1,No,Yes,60,Yes,Yes,No,No,No,No internet service,No internet service,No,No,One year,No,Bank transfer (automatic),88.72,2037.21,No
CUST0117,Male,0,No,No,63,Yes,No phone service,No,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,88.62,3969.7,No
CUST0118,Female,0,No,Yes,45,Yes,No phone service,DSL,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),78.79,1044.21,No
CUST0119,Female,1,No,No,15,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,120.0,3639.22,Yes
CUST0120,Male,0,No,No,72,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),66.32,2338.06,No
CUST0121,Female,0,Yes,No,14,Yes,No phone service,DSL,Yes,No internet service,No internet service,No,Yes,No,One year,Yes,Electronic check,82.32,2766.36,No
CUST0122,Male,0,Yes,No,30,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),21.47,1506.3,No
CUST0123,Female,0,No,No,5,Yes,Yes,No,No,Yes,No,No,No,Yes,Two year,No,Mailed check,40.25,170.29,No
CUST0124,Male,0,No,No,72,Yes,No,No,No,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),28.98,1985.36,No
CUST0125,Male,0,Yes,No,36,Yes,No phone service,DSL,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),103.22,4368.1,No
CUST0126,Female,0,No,No,41,Yes,No,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,20.0,1149.93,No
CUST0127,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,52.93,1670.38,No
CUST0128,Male,0,No,No,43,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,Two year,Yes,Credit card (automatic),20.0,664.45,No
CUST0129,Female,0,Yes,No,44,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,One year,No,Mailed check,40.06,2541.18,No
CUST0130,Female,0,Yes,No,33,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),50.27,3248.11,No
CUST0131,Female,0,No,No,10,Yes,Yes,No,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,106.55,1912.17,No
CUST0132,Male,1,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,76.9,1164.72,No
CUST0133,Male,0,No,Yes,3,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),40.01,1449.52,No
CUST0134,Male,0,No,Yes,19,Yes,No phone service,DSL,No,No internet service,No,No,Yes,No internet service,One year,No,Bank transfer (automatic),96.98,6295.84,No
CUST0135,Male,0,No,No,8,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),65.53,1565.45,No
CUST0136,Male,0,Yes,No,12,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,66.13,3127.35,Yes
CUST0137,Male,0,Yes,No,5,No,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,No,One year,No,Credit card (automatic),28.92,1482.97,Yes
CUST0138,Male,0,Yes,No,7,Yes,No,No,No,No,No,Yes,No,No,Two year,Yes,Electronic check,35.3,1986.87,No
CUST0139,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,40.25,1651.69,Yes
CUST0140,Male,0,No,No,72,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,66.39,1963.55,No
CUST0141,Female,0,No,Yes,22,Yes,No phone service,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,67.34,4690.54,No
CUST0142,Male,0,No,Yes,15,No,Yes,No,No,No,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),111.32,4943.23,No
CUST0143,Female,0,No,No,22,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card (automatic),76.55,4036.43,No
CUST0144,Female,0,No,No,29,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),20.0,509.88,No
CUST0145,Female,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),72.88,3539.48,No
CUST0146,Male,1,No,No,5,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,21.5,415.02,Yes
CUST0147,Male,0,Yes,No,10,Yes,No,DSL,No internet service,No,No,No,No internet service,Yes,Month-to-month,No,Mailed check,36.02,662.85,Yes
CUST0148,Male,0,No,No,72,Yes,Yes,No,No internet service,Yes,Yes,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),40.63,2102.66,No
CUST0149,Male,0,No,No,13,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,Yes,One year,Yes,Credit card (automatic),45.1,1714.65,No
CUST0150,Female,0,No,No,1,No,Yes,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,Two year,No,Credit card (automatic),23.75,1175.7,No
CUST0151,Male,0,Yes,Yes,4,Yes,Yes,No,Yes,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,71.1,1431.34,Yes
CUST0152,Male,0,Yes,No,1,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),22.68,986.62,Yes
CUST0153,Male,0,Yes,No,72,Yes,No,DSL,No,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),75.7,2461.71,No
CUST0154,Male,0,Yes,Yes,9,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),120.0,5206.1,Yes
CUST0155,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),25.12,543.89,No
CUST0156,Female,0,No,No,72,Yes,Yes,DSL,No,No,No,No,No internet service,No,Month-to-month,No,Electronic check,56.46,2924.7,No
CUST0157,Male,0,No,No,27,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No,No internet service,One year,Yes,Electronic check,20.0,1164.42,No
CUST0158,Female,0,Yes,No,1,Yes,No,No,No,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),55.97,1088.88,Yes
CUST0159,Male,0,Yes,Yes,2,Yes,Yes,No,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,84.28,1883.19,Yes
CUST0160,Female,0,Yes,No,19,No,No,Fiber optic,Yes,No,No internet service,No internet service,No,Yes,One year,Yes,Mailed check,86.62,4152.69,No
CUST0161,Male,0,No,No,15,Yes,No,DSL,No,Yes,No,No,No,No internet service,Month-to-month,No,Electronic check,67.32,3392.07,No
CUST0162,Male,1,No,No,27,Yes,No,DSL,No,No,No,Yes,Yes,No internet service,One year,Yes,Mailed check,91.68,4674.76,No
CUST0163,Female,0,No,Yes,17,Yes,No,No,No,No,Yes,Yes,No internet service,No,One year,No,Mailed check,120.0,5936.59,No
CUST0164,Female,0,Yes,No,72,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,116.37,3361.83,No
CUST0165,Female,0,No,No,22,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.32,1432.11,No
CUST0166,Male,0,No,Yes,35,Yes,No,No,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),21.47,409.85,No
CUST0167,Female,0,Yes,Yes,68,Yes,Yes,No,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,52.82,640.93,No
CUST0168,Male,0,No,No,4,Yes,No phone service,No,No,No,Yes,Yes,Yes,No internet service,One year,Yes,Electronic check,36.59,1835.86,No
CUST0169,Male,0,Yes,No,7,Yes,No,DSL,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Mailed check,78.54,598.2,Yes
CUST0170,Female,0,No,No,3,Yes,No,No,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),29.56,1998.04,No
CUST0171,Female,0,Yes,No,4,Yes,Yes,No,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,62.82,3749.74,Yes
CUST0172,Male,1,No,No,21,Yes,No phone service,DSL,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),90.14,5578.15,No
CUST0173,Male,0,No,No,11,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,Yes,One year,Yes,Credit card (automatic),61.98,4051.79,No
CUST0174,Female,0,No,Yes,16,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,36.61,1098.72,No
CUST0175,Female,0,No,No,72,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,100.24,6126.51,No
CUST0176,Female,1,Yes,Yes,5,Yes,No phone service,DSL,No internet service,No,No,No,No,Yes,One year,Yes,Electronic check,20.0,244.45,No
CUST0177,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,55.17,139.93,No
